ORF,Name,Allele,Strain ID
YAL003W,EFB1,efb1-4,TSA987-37C
YAR015W,ADE1,,dma65
YBL001C,ECM15,,dma94
YBL003C,HTA2,,dma93
YBL025W,RRN10,,dma115
YBR001C,NTH2,,dma170
YBR004C,GPI18,gpi18-5001,TSA1243-37C
YBR005W,RCR1,,dma192
YBR028C,YPK3,,dma194
YBR094W,PBY1,,dma260
YBR160W,CDC28,cdc28-td,TSA62-37C
YCL030C,HIS4,,dma499
YCL037C,SRO9,,dma516
YCR053W,THR4,,dma569
YCR081W,SRB8,,dma597
YDL013W,SLX5,,dma616
YDL014W,NOP1,nop1-2,TSA803-37C
YDL028C,MPS1,mps1-1,TSA166-37C
YDL090C,RAM1,,dma674
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR054C,CDC34,cdc34-2,TSA308-37C
YDR055W,PST1,,dma842
YDR103W,STE5,,dma907
YDR123C,INO2,,DMA920-37C
YDR126W,SWF1,,DMA917-37C
YDR126W,SWF1,,dma917
YDR127W,ARO1,,dma916
YDR128W,MTC5,,dma915
YDR157W,,,dma939
YDR158W,HOM2,,DMA938-37C
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,TSA28-37C
YDR173C,ARG82,,dma953
YDR235W,PRP42,prp42-5001,TSA1085-37C
YDR354W,TRP4,,dma1082
YDR460W,TFB3,tfb3-ts,TSA951-37C
YDR478W,SNM1,snm1-5001,TSA1184-37C
YDR500C,RPL37B,,dma1222
YEL063C,CAN1,,dma1300
YER052C,HOM3,,dma1350
YER055C,HIS1,,dma1347
YER125W,RSP5,rsp5-1,TSA182-37C
YER158C,,,dma1442
YER168C,CCA1,cca1-1,TSA958-37C
YFL009W,CDC4,cdc4-2,TSA415-37C
YFL010C,WWM1,,dma5285
YFL018C,LPD1,lpd1-supp1,dma1482
YFL022C,FRS2,frs2-5001,TSA1083-37C
YFR022W,ROG3,,dma1549
YGL023C,PIB2,,dma1597
YGL026C,TRP5,,dma1618
YGL055W,OLE1,ole1-m2,TSA506-37C
YGL059W,PKP2,,dma1621
YGL080W,MPC1,,dma1649
YGL097W,SRM1,srm1-g282s,TSA261-37C
YGL097W,SRM1,srm1-ts,TSA955-37C
YGL105W,ARC1,,dma1660
YGL148W,ARO2,,dma1682
YGL154C,LYS5,,dma1700
YGL234W,"ADE5,7",,dma1759
YGR044C,RME1,,dma1830
YGR061C,ADE6,,dma5192
YGR097W,ASK10,,dma1870
YGR158C,MTR3,mtr3-ts,TSA614-37C
YGR188C,BUB1,bub1-supp1,dma1950
YHL007C,STE20,,dma2052
YHR005C,GPA1,,dma2081
YHR018C,ARG4,,dma2096
YHR025W,THR1,,dma2092
YHR059W,FYV4,,dma2115
YHR122W,CIA2,cia2-5001,TSA1208-37C
YHR178W,STB5,,DMA2213-37C
YIL040W,APQ12,,DMA2275-37C
YIL094C,LYS12,,dma5314
YIL116W,HIS5,,dma2360
YIL125W,KGD1,,dma5202
YIR034C,LYS1,,dma2448
YJL071W,ARG2,,dma2492
YJL088W,ARG3,,dma2486
YJL101C,GSH1,,dma2500
YJL130C,URA2,,dma2510
YJL154C,VPS35,,dma2534
YJR057W,CDC8,cdc8-1,TSA407-37C
YJR065C,ARP3,arp3-31,TSA894-37C
YJR065C,ARP3,arp3-g15c,TSA298-37C
YJR065C,ARP3,arp3-h161a,TSA297-37C
YJR073C,OPI3,,dma2664
YJR139C,HOM6,,DMA2730-37C
YJR139C,HOM6,,dma2730
YJR141W,IPA1,ipa1-5001,TSA1248-37C
YKL010C,UFD4,,dma2758
YKL112W,ABF1,abf1-103,TSA335-37C
YKL139W,CTK1,ctk1-supp1,dma2867
YKL203C,TOR2,tor2-29,TSA838-37C
YKL212W,SAC1,,dma2911
YKL216W,URA1,,dma2907
YLL003W,SFI1,sfi1-7,TSA459-37C
YLL044W,,,dma3051
YLR045C,STU2,stu2-10,TSA549-37C
YLR056W,ERG3,,DMA3153-37C
YLR058C,SHM2,,dma3151
YLR192C,HCR1,,dma3257
YLR344W,RPL26A,,dma3375
YLR420W,URA4,,dma3476
YLR442C,SIR3,,dma3481
YML023C,NSE5,nse5-ts4,TSA1007-37C
YML066C,SMA2,,dma3587
YML069W,POB3,pob3-l78r,TSA846-37C
YML069W,POB3,pob3-q308k,TSA847-37C
YML101C-A,,,dma3591
YML106W,URA5,,dma3610
YMR001C,CDC5,cdc5-1,TSA879-37C
YMR038C,CCS1,,dma3654
YMR300C,ADE4,,dma3890
YNL102W,POL1,pol1-17,TSA345-37C
YNL197C,WHI3,,dma4073
YNL263C,YIF1,yif1-td,TSA16-37C
YNL267W,PIK1,pik1-139,TSA116-37C
YNL271C,BNI1,,dma4132
YNL272C,SEC2,sec2-41,TSA56-37C
YNL315C,ATP11,,dma4168
YNL316C,PHA2,,dma4167
YNR050C,LYS9,,dma4249
YOL058W,ARG1,,dma4354
YOL115W,PAP2,,dma4403
YOL123W,HRP1,hrp1-7,TSA943-37C
YOR046C,DBP5,dbp5-2,TSA944-37C
YOR103C,OST2,ost2-5001,TSA1158-37C
YOR128C,ADE2,,dma5352
YOR141C,ARP8,,dma4550
YOR181W,LAS17,las17-13,TSA924-37C
YOR184W,SER1,,DMA4596-37C
YOR204W,DED1,ded1-f144c,TSA932-37C
YOR249C,APC5,apc5-ca-paps,TSA745-37C
YOR257W,CDC31,cdc31-5,TSA152-37C
YOR329C,SCD5,scd5-pp1d2,TSA570-37C
YPL190C,NAB3,nab3-11,TSA861-37C
YPL217C,BMS1,bms1-1,TSA678-37C
YPL252C,YAH1,yah1-ts,TSA428-37C
YPR060C,ARO7,,DMA5054-37C
YPR060C,ARO7,,dma5054
